epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,7546.62,0.91465,1.55981,0.96485,1.25712,0,0.58664,0.5524,0.59974,0.43684,0.61955,0.46486,0.53017,0.36358,0.88317,1.46558,0.87753,1.27523,0,0.00183745,0.00183745,0.00183745
39,7737.93,0.92265,1.51892,0.98217,1.26025,0,0.62637,0.54986,0.58379,0.42713,0.61156,0.49692,0.52754,0.35892,0.92429,1.53712,0.99457,1.27383,0,0.00182881,0.00182881,0.00182881
40,7930.48,0.88585,1.53699,0.95914,1.24554,0,0.63499,0.54254,0.59944,0.44424,0.61899,0.48878,0.52364,0.35895,0.89817,1.54579,0.91023,1.27233,0,0.00181997,0.00181997,0.00181997
41,8131.55,0.86301,1.42048,0.93422,1.23952,0,0.65762,0.58499,0.63006,0.47317,0.64425,0.52699,0.56642,0.39804,0.84438,1.4111,0.85101,1.23642,0,0.00181093,0.00181093,0.00181093
42,8323.78,0.86588,1.44844,0.92447,1.2279,0,0.69205,0.51788,0.61056,0.44225,0.69482,0.45006,0.5344,0.36511,0.87037,1.42888,0.87985,1.27348,0,0.00180169,0.00180169,0.00180169
43,8506.57,0.87785,1.51646,0.95342,1.23468,0,0.66322,0.57953,0.63403,0.47733,0.64009,0.51911,0.56657,0.40241,0.86063,1.44559,0.85379,1.23779,0,0.00179225,0.00179225,0.00179225
44,8686.38,0.83118,1.42142,0.8906,1.20099,0,0.68042,0.54605,0.61983,0.46692,0.64661,0.51892,0.55955,0.3981,0.85387,1.46732,0.84642,1.24321,0,0.00178263,0.00178263,0.00178263
45,8866.07,0.86711,1.45642,0.91586,1.22017,0,0.66217,0.5894,0.62414,0.46638,0.63471,0.55487,0.56623,0.40373,0.8632,1.44581,0.83034,1.25951,0,0.00177281,0.00177281,0.00177281
46,9043.57,0.82173,1.42319,0.89704,1.19321,0,0.71268,0.56889,0.6393,0.47819,0.70596,0.51665,0.5717,0.41131,0.83076,1.40936,0.82083,1.23882,0,0.0017628,0.0017628,0.0017628
47,9229.08,0.80963,1.4288,0.8698,1.19234,0,0.64528,0.60912,0.64842,0.48682,0.62466,0.55487,0.57656,0.40502,0.82547,1.37234,0.81078,1.23568,0,0.00175261,0.00175261,0.00175261
48,9410.49,0.82225,1.39067,0.87407,1.18882,0,0.65685,0.58446,0.64295,0.48273,0.60781,0.53637,0.57224,0.40077,0.81201,1.43643,0.81045,1.22149,0,0.00174223,0.00174223,0.00174223
49,9594.11,0.81213,1.40484,0.88891,1.18756,0,0.66889,0.59063,0.6434,0.48005,0.68701,0.53861,0.59678,0.41519,0.84614,1.40151,0.8029,1.25134,0,0.00173168,0.00173168,0.00173168
50,9773.42,0.78943,1.36403,0.84819,1.1712,0,0.68691,0.57213,0.63952,0.48304,0.65878,0.54871,0.58284,0.41898,0.82151,1.37565,0.82034,1.23838,0,0.00172095,0.00172095,0.00172095
